OID_,SAMPLE_ID,DIST_M,NEAR_RANK,AHA_ID,ZIP,AHA_ID_lon,AHA_ID_lat,ZIP_lon,ZIP_lat,BIN,STATE_ABBR,Google Maps,Bing Maps,ESRI Routing Service,OSRM,OSMNx,ArcGIS Pro,Total_Kilometers_Esri_Desktop
5716,3716,31828.231807812925,6,6930075.0,91741,-117.84448299,33.85210501,-117.85633578,34.138876798,16-30,CA,34.7,35.0,37.58929225376674,37.74333333333333,28.1,40.7871077,43.30864666
4251,2251,39967.48868818824,13,6221190.0,8060,-74.62380502,40.34012701,-74.79100851699998,40.003811282,16-30,NJ,34.7,34.583333333333336,33.18914948621458,38.10166666666667,28.766666666666666,38.00254571,50.40509568
4693,2693,30671.287983091646,1,6410340.0,43152,-82.967982,39.396166,-82.611924059,39.397373279,16-30,OH,34.7,40.733333333333334,33.049979227718815,48.71,39.18333333333333,30.55003293,39.76951233
4828,2828,33987.68301354196,14,6431090.0,60409,-87.68328357999998,41.90303445,-87.55171689799998,41.613318533,16-30,IL,34.7,33.833333333333336,44.41793195230393,37.93,29.883333333333333,44.21245993,40.96714575
3770,1770,21202.80662647288,9,6931470.0,90296,-118.2901694,34.09812866,-118.447954,33.959277,0-15,CA,34.7,28.983333333333334,45.870108631489714,27.98166666666667,21.45,37.62562665,28.46698001
4308,2308,36582.72039755996,4,6230760.0,16401,-80.08792688,42.13352496,-80.376435908,41.884172173,16-30,PA,34.733333333333334,34.233333333333334,34.57660391039589,41.79833333333333,33.68333333333333,34.08122798,47.61319066
5960,3960,31086.03124141332,1,6530320.0,35079,-86.80418338,34.19861728,-86.76980076799998,33.919834535,16-30,AL,34.75,34.15,33.981583026416004,44.559999999999995,32.766666666666666,34.38827358,42.39159823
4631,2631,24231.535058347265,6,6390573.0,33186,-80.21269897,25.791938,-80.40805736999998,25.66337264,16-30,FL,34.766666666666666,32.483333333333334,33.565138439001,33.85666666666667,24.316666666666663,35.75471763,32.35695649
4639,2639,24796.361765267928,1,6390669.0,34145,-81.79941972999998,26.15045564,-81.72232673099998,25.937749236,16-30,FL,34.766666666666666,36.1,30.654619306572208,34.80333333333333,25.7,30.4288681,29.99727185
7300,5300,56367.67134111588,2,6720460.0,71245,-92.11463779,32.49945204,-92.713739306,32.52546985,31-60,LA,34.78333333333333,33.666666666666664,35.0251609019913,41.88666666666666,33.75,36.49769503,60.67578484
5822,3822,39327.364716054726,2,6933402.0,95038,-121.99933003,37.33578201,-121.647229,37.120611,16-30,CA,34.78333333333333,32.333333333333336,34.4093685153872,39.711666666666666,29.233333333333334,39.37668597,48.07720185
5815,3815,38400.35408582584,2,6932775.0,92030,-117.15082744,32.79869101,-117.056022,33.135591,16-30,CA,34.81666666666667,33.3,34.160385427036175,35.53666666666666,27.533333333333335,33.67846637,42.2688739
